City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
300,Boa Viagem,BR,-5.1275,-39.7322,97.45,26,37,8.84,scattered clouds
301,Kpandu,GH,6.9954,0.2931,77.05,86,94,2.64,light rain
302,Dicabisagan,PH,17.0818,122.4157,77.29,91,99,8.5,overcast clouds
303,Villa Maria,AR,-32.4075,-63.2402,77.83,32,97,12.26,overcast clouds
304,Qasigiannguit,GL,68.8193,-51.1922,33.58,75,53,17.36,broken clouds
305,Cascais,PT,38.6979,-9.4215,69.66,82,20,32.99,few clouds
306,Chinchani,IN,19.8667,72.7,78.85,82,13,2.73,few clouds
307,Orbetello,IT,42.4408,11.2196,66.0,86,100,21.16,light rain
308,Saint-Augustin,CA,51.226,-58.6502,62.96,73,83,22.48,broken clouds
309,Sadat,IN,25.6833,83.2833,80.13,78,100,5.37,overcast clouds
310,Mecca,SA,21.4267,39.8261,89.04,40,43,5.66,scattered clouds
311,Pangody,RU,65.85,74.4859,29.37,80,61,8.28,broken clouds
312,Axim,GH,4.8699,-2.2405,77.36,85,38,7.56,scattered clouds
313,Holme,DK,56.1138,10.1725,58.17,80,82,6.06,broken clouds
314,Buala,SB,-8.145,159.5921,79.34,79,52,3.13,light rain
315,San Vicente,AR,-26.6167,-54.1333,73.67,28,0,2.39,clear sky
316,Evensk,RU,61.95,159.2333,35.83,66,6,10.31,clear sky
317,Portalegre,PT,39.2938,-7.4312,70.23,37,39,3.96,scattered clouds
318,Odweyne,SO,9.4092,45.064,78.53,50,90,6.89,overcast clouds
319,Ndungu,TZ,-4.3667,38.05,72.46,75,96,2.37,overcast clouds
320,Keti Bandar,PK,24.1447,67.4497,81.37,74,62,17.43,broken clouds
321,Bud,US,39.447,-86.1758,74.48,65,52,13.11,broken clouds
322,Salisbury,GB,51.0693,-1.7957,61.02,63,100,10.36,overcast clouds
323,Grand Gaube,MU,-20.0064,57.6608,72.0,74,8,8.99,light rain
324,Port-Gentil,GA,-0.7193,8.7815,76.96,88,40,13.8,scattered clouds
325,Seoni,IN,22.0833,79.5333,70.11,92,89,3.22,overcast clouds
326,Nikolayevsk-Na-Amure,RU,53.1406,140.73,49.28,97,100,14.52,light rain
327,Nyurba,RU,63.2842,118.3319,33.19,99,100,3.13,overcast clouds
328,Pinheiro,BR,-2.5214,-45.0825,88.56,53,89,2.91,overcast clouds
329,Gori,GE,41.9842,44.1158,52.41,86,100,17.72,overcast clouds
330,Palembang,ID,-2.9167,104.7458,78.89,89,40,3.44,scattered clouds
331,Hambantota,LK,6.1241,81.1185,78.98,72,74,13.04,broken clouds
332,Qandala,SO,11.472,49.8728,87.66,57,69,4.72,broken clouds
333,Darhan,MN,49.4867,105.9228,41.79,75,93,2.55,overcast clouds
334,Qingquan,CN,30.4511,115.2559,67.06,51,99,4.0,overcast clouds
335,Sovetskiy,RU,61.3614,63.5842,40.62,69,99,8.08,overcast clouds
336,Manaus,BR,-3.1019,-60.025,97.29,38,40,6.91,scattered clouds
337,Cap Malheureux,MU,-19.9842,57.6142,70.47,74,6,8.99,light rain
338,Rong Kwang,TH,18.339,100.3174,72.72,95,78,1.72,broken clouds
339,Jinchang,CN,38.4953,102.1739,60.13,30,68,3.04,broken clouds
340,Beverley,GB,53.8459,-0.4233,59.22,44,100,11.5,overcast clouds
341,Borzya,RU,50.3833,116.5167,40.5,70,43,4.03,scattered clouds
342,Teknaf,BD,20.8624,92.3058,78.94,83,98,1.28,overcast clouds
343,Marsabit,KE,2.3284,37.9899,74.01,37,12,20.49,few clouds
344,Vostok,RU,46.4856,135.8833,46.18,96,85,6.11,overcast clouds
345,Tuatapere,NZ,-46.1333,167.6833,45.45,97,100,4.65,overcast clouds
346,Ahipara,NZ,-35.1667,173.1667,54.34,81,71,6.49,broken clouds
347,Luganville,VU,-15.5333,167.1667,78.39,86,41,6.93,scattered clouds
