City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
493,Narsipatnam,IN,77.56,broken clouds,17.6667,82.6167,Lodge Vooda Residency AC
494,Am Timan,TD,77.34,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
495,Dossor,KZ,73.62,overcast clouds,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
498,Zhuhai,CN,82.85,few clouds,22.2769,113.5678,珠海粤财假日酒店
505,Uyovu,TZ,73.76,broken clouds,-3.2833,31.5258,
506,Chinsali,ZM,71.69,scattered clouds,-10.5414,32.0816,Chisakatu Guest House
507,Tateyama,JP,73.09,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
509,Balikpapan,ID,74.39,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
511,Praia,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
512,Tadine,NC,72.28,scattered clouds,-21.55,167.8833,
513,Koubia,GN,74.08,moderate rain,11.5833,-11.9,Hôtel Mbalou Koubia
515,Mansoa,GW,76.59,moderate rain,12.0733,-15.3189,Hotel Uaque
517,Chandla,IN,77.49,overcast clouds,25.0833,80.2,Rest House
518,Madison,US,84.33,clear sky,34.7334,-86.5667,Embassy Suites by Hilton Huntsville
520,Sapouy,BF,80.96,overcast clouds,11.5544,-1.7736,Auberge St Louis
522,Vanimo,PG,74.91,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
525,Pyay,MM,75.88,overcast clouds,18.8167,95.2167,Shwe Pyi Thar
527,Thinadhoo,MV,81.32,very heavy rain,0.5333,72.9333,
528,Lingao,CN,77.18,few clouds,19.9103,109.6859,Lingao Ditai Inn
529,Bull Savanna,JM,83.1,overcast clouds,17.8868,-77.5902,Big Red's
532,Kaohsiung,TW,81.03,few clouds,22.6163,120.3133,御宿商旅-中山館
535,Porto Belo,BR,73.8,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
536,Tazmalt,DZ,81.61,scattered clouds,36.3868,4.3989,Hôtel Numédia
537,Kabompo,ZM,75.16,scattered clouds,-13.5927,24.2008,Big Tree
538,Omboue,GA,76.48,overcast clouds,-1.5746,9.2618,Hotel Olako
539,Kilimatinde,TZ,75.33,broken clouds,-5.85,34.95,
540,Jieshi,CN,76.08,light rain,22.8134,115.8257,Yuehai Hotel
542,Algiers,DZ,82.22,scattered clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
543,Kota,IN,78.31,overcast clouds,25.1833,75.8333,Hotel Surya Royal
544,Ambilobe,MG,73.81,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
547,Nieves,PH,81.91,overcast clouds,15.3274,120.9485,Bill's Inn
549,Mercedes,AR,74.86,scattered clouds,-34.6515,-59.4307,Posada del Inti Centro
552,Najran,SA,79.21,clear sky,17.4924,44.1277,محمد هادي ال فطيح
557,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
558,Los Llanos De Aridane,ES,70.12,overcast clouds,28.6585,-17.9182,Valle Aridane
561,Port Blair,IN,80.83,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
562,Rus,ES,80.46,overcast clouds,38.0476,-3.4625,Balneario San Andrés
567,Coahuayana,MX,87.94,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
570,Culpeper,US,70.56,scattered clouds,38.5004,-77.9664,Suites at 249
574,Quelimane,MZ,73.89,scattered clouds,-17.8786,36.8883,Hotel Flamingo
575,Agua Verde,MX,87.89,broken clouds,22.9,-106.05,
577,Serenje,ZM,72.52,scattered clouds,-13.2325,30.2352,The Kabaso's
580,Romitan,UZ,73.35,clear sky,39.9343,64.3814,Hotel Temur
582,Lamu,KE,77.22,overcast clouds,-2.2717,40.902,Lamu House
584,Ternate,ID,81.39,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
587,Tigre,AR,75.06,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
590,Naze,JP,76.96,broken clouds,28.3667,129.4833,Shishime Hotel
595,Micheweni,TZ,75.99,broken clouds,-4.9667,39.8333,
600,Sao Joao Da Barra,BR,77.09,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
601,Gigmoto,PH,78.33,heavy intensity rain,13.7796,124.39,Cj's Travellers Inn
606,Qingyuan,CN,82.38,broken clouds,23.7,113.0333,Guojin Commercial Hotel
609,Patawag,PH,78.21,light rain,8.1064,122.6208,Banigan Beach
